ADM3_EN,ADM3_PCODE,ADM2_PCODE,ADM1_PCODE,Totpop2021_count,Totpop2021_sum,LLG,ADM3_EN_2,District,Province
East Pangia Rural LLG,PG070101,PG0701,PG07,"85",29205.000000,East Pangia Rural,East Pangia Rural LLG,Ialibu/Pangia District,Southern Highlands
East Pomio Rural LLG,PG180311,PG1803,PG18,"30",8707.000000,East Pomio Rural,East Pomio Rural LLG,Pomio District,East New Britain
East Wapei Rural LLG,PG150102,PG1501,PG15,"53",16956.000000,East Wapei Rural,East Wapei Rural LLG,Aitape/Lumi District,West Sepik (Sandaun)
East Yangoru Rural LLG,PG140623,PG1406,PG14,"49",22909.000000,East Yangoru Rural,East Yangoru Rural LLG,Yangoru Saussia District,East Sepik
Elimbari Rural LLG,PG100102,PG1001,PG10,"65",18574.903756,Elimbari Rural,Elimbari Rural LLG,Chuave District,Chimbu (Simbu)
Erave Rural LLG,PG070308,PG0703,PG07,"104",23814.000000,Erave Rural,Erave Rural LLG,Kagua/Erave District,Southern Highlands
Fayantina Rural LLG,PG110316,PG1103,PG11,"138",27210.936218,Fayantina Rural,Fayantina Rural LLG,Henganofi District,Eastern Highlands
Finschafen Urban LLG,PG120233,PG1202,PG12,"9",5746.906132,Finschafen Urban,Finschafen Urban LLG,Finschafen District,Morobe
Gadsup/Tairora Rural LLG,PG110419,PG1104,PG11,"123",31888.951192,Gadsup/Tairora Rural,Gadsup/Tairora Rural LLG,Kainanatu District,Eastern Highlands
Gahuku Rural LLG,PG110202,PG1102,PG11,"286",109275.266571,Gahuku Rural,Gahuku Rural LLG,Goroka District,Eastern Highlands
Gama Rural LLG,PG130619,PG1306,PG13,"23",15101.248356,Gama  Rural,Gama Rural LLG,Usino Bundi District,Madang
Gasmata Rural LLG,PG190101,PG1901,PG19,"42",12767.000000,Gasmata Rural,Gasmata Rural LLG,Kandrian/Gloucester District,West New Britain
Gawanga Rural LLG,PG140103,PG1401,PG14,"30",28569.000000,Gawanga Rural,Gawanga Rural LLG,Ambunti/Drekikier District,East Sepik
Gawi Rural LLG,PG140520,PG1405,PG14,"41",15790.000000,Gawi Rural,Gawi Rural LLG,Wosera Gawi District,East Sepik
Gena/Waugla Rural LLG,PG100410,PG1004,PG10,"81",38515.000001,Gena/Waugla Rural,Gena/Waugla Rural LLG,Kerowagi District,Chimbu (Simbu)
Gloucester Rural LLG,PG190102,PG1901,PG19,"61",16184.000000,Gloucester Rural,Gloucester Rural LLG,Kandrian/Gloucester District,West New Britain
Gogodala Rural LLG,PG010103,PG0101,PG01,"70",49798.000001,Gogodala Rural LLG,Gogodala Rural LLG,Delta Fly District,Western
Goodenough Island LLG,PG050313,PG0503,PG05,"39",46833.303369,Goodenough Isla,Goodenough Island LLG,Kiriwina-Goodenough District,Milne Bay Province
Goroka Urban LLG,PG110203,PG1102,PG11,"61",31865.999999,Goroka Urban,Goroka Urban LLG,Goroka District,Eastern Highlands
Green River Rural LLG,PG150414,PG1504,PG15,"70",23757.000000,Green River Rural,Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun)
Guari Rural LLG,PG030204,PG0302,PG03,"59",5674.000000,Guari Rural,Guari Rural LLG,Goilala District,Central
Gumine Rural LLG,PG100205,PG1002,PG10,"51",26295.000000,Gumine Rural,Gumine Rural LLG,Gumine District,Chimbu (Simbu)
Hayapuga Rural LLG,PG210827,PG2108,PG21,"21",75061.999998,Hayapuga Rural,Hayapuga Rural LLG,Tari/Pori District,Hela
Higaturu Rural LLG,PG060206,PG0602,PG06,"190",72266.000001,Higaturu Rural,Higaturu Rural LLG,Sohe District,Northern (Oro)
Hiri Rural LLG,PG030307,PG0303,PG03,"77",73266.000001,Hiri Rural,Hiri Rural LLG,Hiri-Koiari District,Central
Hoskins Rural LLG,PG190208,PG1902,PG19,"45",42579.000001,Hoskins Rural,Hoskins Rural LLG,Nakanai District,West New Britain
Hube Rural LLG,PG120232,PG1202,PG12,"51",20319.727813,Burum Kwat,Hube Rural LLG,Finschafen District,Morobe
Huhu Rural LLG,PG050105,PG0501,PG05,"80",67852.999997,Huhu Rural,Huhu Rural LLG,Alotau District,Milne Bay Province
Hulia Rural LLG,PG210411,PG2104,PG21,"72",121413.999998,Hulia Rural,Hulia Rural LLG,Hulia District,Hela
Iabu Rural LLG,PG130102,PG1301,PG13,"19",6280.000000,Iabu Rural,Iabu Rural LLG,Bogia District,Madang
Ialibu Basin Rural LLG,PG070205,PG0702,PG07,"91",35564.000000,Ialibu Basin Rural,Ialibu Basin Rural LLG,Imbonggu District,Southern Highlands
Ialibu Urban LLG,PG070102,PG0701,PG07,"33",18320.000000,Ialibu Urban,Ialibu Urban LLG,Ialibu/Pangia District,Southern Highlands
Ihu Rural LLG,PG020209,PG0202,PG02,"70",23883.000000,Ihu Rural,Ihu Rural LLG,Kikori District,Gulf Province
Imbongu Rural LLG,PG070206,PG0702,PG07,"41",49374.000001,Imbongu Rural,Imbongu Rural LLG,Imbonggu District,Southern Highlands
Inland Baining Rural LLG,PG180102,PG1801,PG18,"55",38982.999999,Inland Baining Rural,Inland Baining Rural LLG,Gazelle District,East New Britain
Jimi Rural LLG,PG220406,PG2204,PG22,"69",46550.000000,Jimi Rural,Jimi Rural LLG,Jimi District,Jiwaka
Josephstaal Rural LLG,PG130308,PG1303,PG13,"94",30538.000000,Josephstaal Rural,Josephstaal Rural LLG,Middle Ramu District,Madang
Kafentina Rural LLG,PG110304,PG1103,PG11,"143",36443.305245,Kafentina Rural,Kafentina Rural LLG,Henganofi District,Eastern Highlands
Kagua Rural LLG,PG070309,PG0703,PG07,"86",40856.201828,Kagua Rural,Kagua Rural LLG,Kagua/Erave District,Southern Highlands
Kainantu Urban LLG,PG110406,PG1104,PG11,"31",15138.000000,Kainantu Urban,Kainantu Urban LLG,Kainanatu District,Eastern Highlands
Kaintiba Rural LLG,PG020103,PG0201,PG02,"49",16205.000000,Kaintiba Rural,Kaintiba Rural LLG,Kerema District,Gulf Province
Kairuku Rural LLG,PG030308,PG0303,PG03,"105",33438.999999,Kairuku Rural,Kairuku Rural LLG,Kairuku - Hiri District,Central
Kamano No. 1 Rural LLG,PG110417,PG1104,PG11,"43",17676.667976,Kamano No. 1 Rural,Kamano No. 1 Rural LLG,Kainanatu District,Eastern Highlands
Kamano No. 2 Rural LLG,PG110405,PG1104,PG11,"51",13302.714821,Kamano No. 2 Rural,Kamano No. 2 Rural LLG,Kainanatu District,Eastern Highlands
Kandep Rural LLG,PG080101,PG0801,PG08,"68",44215.000000,Kandep Rural,Kandep Rural LLG,Kandep District,Enga
Kandrian Coastal Rural LLG,PG190103,PG1901,PG19,"57",18582.000000,Kandrian Coastal Rural,Kandrian Coastal Rural LLG,Kandrian/Gloucester District,West New Britain
Kandrian Inland Rural LLG,PG190104,PG1901,PG19,"80",21250.000000,Kandrian Inland Rural,Kandrian Inland Rural LLG,Kandrian/Gloucester District,West New Britain
Kapao Rural LLG,PG120730,PG1207,PG12,"66",44199.864596,Kapao Rural,Kapao Rural LLG,Menyamya District,Morobe
Karawari Rural LLG,PG140206,PG1402,PG14,"59",27051.000000,Karawari Rural,Karawari Rural LLG,Angoram District,East Sepik
Karimui Rural LLG,PG100307,PG1003,PG10,"86",38585.999999,Karimui Rural,Karimui Rural LLG,Karimui/Nomane District,Chimbu (Simbu)
Karints Rural LLG,PG070618,PG0706,PG07,"72",40740.000001,Karints Rural,Karints Rural LLG,Mendi/Munihu District,Southern Highlands
Karkar Rural LLG,PG130513,PG1305,PG13,"107",67991.000000,Karkar Rural,Karkar Rural LLG,Sumkar District,Madang
Kavieng Urban LLG,PG170104,PG1701,PG17,"53",22725.000000,Kavieng Urban,Kavieng Urban LLG,Kavieng District,New Ireland
Keram Rural LLG,PG140207,PG1402,PG14,"71",35462.000000,Keram Rural,Keram Rural LLG,Angoram District,East Sepik
Kerema Urban LLG,PG020104,PG0201,PG02,"12",8527.000000,Kerema Urban,Kerema Urban LLG,Kerema District,Gulf Province
Kerowagi Urban LLG,PG100420,PG1004,PG10,"7",7911.204641,Kerowagi Urban,Kerowagi Urban LLG,Kerowagi District,Chimbu (Simbu)
Kewabi Rural LLG,PG070103,PG0701,PG07,"124",38309.000001,Kewabi Rural,Kewabi Rural LLG,Ialibu/Pangia District,Southern Highlands
Kimbe Urban LLG,PG190209,PG1902,PG19,"32",23931.999999,Kimbe Urban,Kimbe Urban LLG,Talasea District,West New Britain
Kira Rural LLG,PG060208,PG0602,PG06,"30",3583.000000,Kira Rural,Kira Rural LLG,Sohe District,Northern (Oro)
Kiriwina Rural LLG,PG050312,PG0503,PG05,"99",51880.000000,Kiriwina Rural,Kiriwina Rural LLG,Kiriwina-Goodenough District,Milne Bay Province
Kiunga Rural LLG,PG010206,PG0102,PG01,"75",23549.000000,Kiunga Rural LLG,Kiunga Rural LLG,North Fly District,Western
Kiunga Urban LLG,PG010207,PG0102,PG01,"15",26778.000000,Kiunga Urban LLG,Kiunga Urban LLG,North Fly District,Western
Kiwai Rural LLG,PG010312,PG0103,PG01,"51",27533.000000,Kiwai Rural LLG,Kiwai Rural LLG,South Fly District,Western
Koiari Rural LLG,PG030309,PG0303,PG03,"117",32043.000001,Koiari Rural,Koiari Rural LLG,Hiri-Koiari District,Central
Kokoda Rural LLG,PG060205,PG0602,PG06,"118",29702.000000,Kokoda Rural,Kokoda Rural LLG,Sohe District,Northern (Oro)
Kokopo/Vunamami Urban LLG,PG180208,PG1802,PG18,"46",40231.000001,Kokopo/Vunamami Urban,Kokopo/Vunamami Urban LLG,Kokopo District,East New Britain
Kol Rural LLG,PG220407,PG2204,PG22,"58",19964.000000,Kol Rural,Kol Rural LLG,Jimi District,Jiwaka
Komba Rural LLG,PG120431,PG1204,PG12,"35",12971.000000,Komba Rural,Komba Rural LLG,Kabwum District,Morobe
Kombiu Rural LLG,PG180416,PG1804,PG18,"21",18356.000000,Kombiu Rural,Kombiu Rural LLG,Rabaul District,East New Britain
Kome Rural LLG,PG120721,PG1207,PG12,"94",38551.000000,Kome Rural,Kome Rural LLG,Menyamya District,Morobe
Komo Rural LLG,PG210412,PG2104,PG21,"51",86355.999999,Komo Rural,Komo Rural LLG,Hulia District,Hela
Kompiam Rural LLG,PG080204,PG0802,PG08,"81",35641.065977,Kompiam Rural,Kompiam Rural LLG,Kompiam District,Enga
Konoagil Rural LLG,PG170207,PG1702,PG17,"52",16734.297439,Konoagil Rural,Konoagil Rural LLG,Namatanai District,New Ireland
Kotidanga Rural LLG,PG020105,PG0201,PG02,"54",29197.999999,Kotidanga Rural,Kotidanga Rural LLG,Kerema District,Gulf Province
Kotna Rural LLG,PG090214,PG0902,PG09,"175",53749.486051,Kotna Rural,Kotna Rural LLG,Dei District,Western Highlands
Kotte Rural LLG,PG120207,PG1202,PG12,"48",16906.000000,Kotte Rural,Kotte Rural LLG,Finschafen District,Morobe
Kove/Kaliai Rural LLG,PG190105,PG1901,PG19,"76",27080.000000,Kove/Kaliai Rural,Kove/Kaliai Rural LLG,Kandrian/Gloucester District,West New Britain
Kovon LLG,PG130317,PG1303,PG13,"17",21943.000002,Kovon,Kovon LLG,Middle Ramu District,Madang
Kuare Rural LLG,PG070310,PG0703,PG07,"92",28146.000000,Kuare Rural,Kuare Rural LLG,Kagua/Erave District,Southern Highlands
Kundiawa Urban LLG,PG100513,PG1005,PG10,"29",24414.000000,Kundiawa Urban,Kundiawa Urban LLG,Kundiawa/Gembogl District,Chimbu (Simbu)
Kunua LLG,PG200102,PG2001,PG20,"53",32017.000001,Kunua,Kunua LLG,North Bougainville District,Bougainville
Kup Rural LLG,PG100412,PG1004,PG10,"36",21917.000000,Kup Rural,Kup Rural LLG,Kerowagi District,Chimbu (Simbu)
Labuta Rural LLG,PG120823,PG1208,PG12,"33",24544.999999,Labuta Rural,Labuta Rural LLG,Nawae District,Morobe
Lae Urban LLG,PG120516,PG1205,PG12,"185",110910.999996,Lae Urban,Lae Urban LLG,Lae District,Morobe
Lagaip Rural LLG,PG080306,PG0803,PG08,"41",38353.331619,Lagaip Rural,Lagaip Rural LLG,Laigap District,Enga
Lai Valley Rural LLG,PG070619,PG0706,PG07,"97",50273.000002,Lai Valley Rural,Lai Valley Rural LLG,Mendi/Munihu District,Southern Highlands
Lake Kopiago Rural LLG,PG210515,PG2105,PG21,"204",40931.999999,Lake Kopiago Rural,Lake Kopiago Rural LLG,Koroba/Kopiago District,Hela
Lake Kutubu Rural LLG,PG070722,PG0707,PG07,"61",29571.000000,Lake Kutubu Rural,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands
Lake Murray Rural LLG,PG010104,PG0101,PG01,"43",18510.000000,Lake Murray Rural LLG,Lake Murray Rural LLG,Middle Fly District,Western
Lakekamu-Tauri Rural LLG,PG020106,PG0201,PG02,"46",26681.000001,Lakekamu-Tauri Rural,Lakekamu-Tauri Rural LLG,Kerema District,Gulf Province
Lamari Rural LLG,PG110608,PG1106,PG11,"117",14073.000000,Lamari Rural,Lamari Rural LLG,Obura/Wonenara District,Eastern Highlands
Lassul Baining Rural LLG,PG180103,PG1801,PG18,"48",19390.999999,Lassul Baining Rural,Lassul Baining Rural LLG,Gazelle District,East New Britain
Lelemadih/Bupichupeu LLG,PG160105,PG1601,PG16,"29",9900.000000,Lelemadih/Bupichupeu,Lelemadih/Bupichupeu LLG,Manus District,Manus
Livuan/Reimber Rural LLG,PG180104,PG1801,PG18,"36",38624.999999,Livuan/Reimber Rural,Livuan/Reimber Rural LLG,Gazelle District,East New Britain
Lorengau Urban LLG,PG160106,PG1601,PG16,"21",11853.000000,Lorengau Urban,Lorengau Urban LLG,Manus District,Manus
Los Negros LLG,PG160107,PG1601,PG16,"15",5348.000000,Los Negros,Los Negros LLG,Manus District,Manus
Louisiade Rural LLG,PG050209,PG0502,PG05,"103",150674.999997,Louisiade Rural,Louisiade Rural LLG,Samarai-Murua District,Milne Bay Province
Lovongai Rural LLG,PG170102,PG1701,PG17,"85",31882.000000,Lovongai Rural,Lovongai Rural LLG,Kavieng District,New Ireland
Lower Asaro Rural LLG,PG110112,PG1101,PG11,"146",60426.215519,Lower Asaro Rural,Lower Asaro Rural LLG,Daulo District,Eastern Highlands
Lower Benna LLG,PG110811,PG1108,PG11,"138",61446.958506,Lower Benna,Lower Benna LLG,Unggai/Benna District,Eastern Highlands
Lower Mendi Rural LLG,PG070207,PG0702,PG07,"138",45347.000000,Lower Mendi Rural,Lower Mendi Rural LLG,Imbonggu District,Southern Highlands
Lower Wage LLG,PG210413,PG2104,PG21,"76",42180.650428,Lower Wage,Lower Wage LLG,Komo/Magarima District,Hela
Lumusa Rural LLG,PG090510,PG0905,PG09,"52",12738.000000,Lumusa Rural,Lumusa Rural LLG,Mul/Baiyer District,Western Highlands
Madang Urban LLG,PG130205,PG1302,PG13,"85",53618.000001,Madang Urban,Madang Urban LLG,Madang District,Madang
Maimai Wanwan LLG,PG150217,PG1502,PG15,"22",18654.000000,Maimai Wanwan,Maimai Wanwan LLG,Nuku District,West Sepik (Sandaun)
Maip Muritaka Rural LLG,PG080307,PG0803,PG08,"34",26450.000001,Maip Muritaka Rural,Maip Muritaka Rural LLG,Pogera-Paiela District,Enga
Makamaka Rural LLG,PG050101,PG0501,PG05,"37",20131.000000,Makamaka Rural,Makamaka Rural LLG,Alotau District,Milne Bay Province
Maprik/Wora Rural LLG,PG140312,PG1403,PG14,"39",34280.000000,Maprik/Wora Rural,Maprik/Wora Rural LLG,Maprik District,East Sepik
Maramatana Rural LLG,PG050104,PG0501,PG05,"21",28199.000000,Maramatana Rural,Maramatana Rural LLG,Alotau District,Milne Bay Province
Maramuni Rural LLG,PG080412,PG0804,PG08,"19",7020.000000,Maramuni Rural,Maramuni Rural LLG,Wabag District,Enga
Marienberg Rural LLG,PG140208,PG1402,PG14,"64",37329.999999,Marienberg Rural,Marienberg Rural LLG,Angoram District,East Sepik
Mawase Rural LLG,PG150205,PG1502,PG15,"39",34760.000001,Mawase Rural,Mawase Rural LLG,Nuku District,West Sepik (Sandaun)
Mekeo Kuni Rural LLG,PG030310,PG0303,PG03,"74",36958.000000,Mekeo Kuni Rural,Mekeo Kuni Rural LLG,Kairuku - Hiri District,Central
Melkoi Rural LLG,PG180312,PG1803,PG18,"52",12739.000000,Melkoi Rural,Melkoi Rural LLG,Pomio District,East New Britain
Mendi Urban LLG,PG070620,PG0706,PG07,"39",40918.000000,Mendi Urban,Mendi Urban LLG,Mendi/Munihu District,Southern Highlands
Mimanalo Rural LLG,PG110214,PG1102,PG11,"157",70832.733428,Mimanalo Rural,Mimanalo Rural LLG,Goroka District,Eastern Highlands
Mitnande Rural LLG,PG100514,PG1005,PG10,"79",23537.000000,Mitnande Rural,Mitnande Rural LLG,Kundiawa/Gembogl District,Chimbu (Simbu)
Morehead Rural LLG,PG010313,PG0103,PG01,"72",21617.000000,Morehead Rural LLG,Morehead Rural LLG,South Fly District,Western
Morobe Rural LLG,PG120309,PG1203,PG12,"40",26858.000000,Morobe Rural,Morobe Rural LLG,Huon District,Morobe
Mosa Rural LLG,PG190210,PG1902,PG19,"33",58233.999998,Mosa Rural,Mosa Rural LLG,Nakanai District,West New Britain
Mt Bosavi Rural LLG,PG070723,PG0707,PG07,"54",6162.000000,Mt Bosavi Rural,Mt Bosavi Rural LLG,Nipa/Kutubu District,Southern Highlands
Mt Digine Rural LLG,PG100206,PG1002,PG10,"43",23117.000001,Mt Digine Rural,Mt Digine Rural LLG,Gumine District,Chimbu (Simbu)
Mt Giluwe Rural LLG,PG090712,PG0907,PG09,"134",53556.000000,Mt Giluwe Rural,Mt Giluwe Rural LLG,Tambul/Nebilyer District,Western Highlands
Mt Hagen Rural LLG,PG090304,PG0903,PG09,"298",134202.000002,Mt Hagen Rural,Mt Hagen Rural LLG,Mt Hagen District,Western Highlands
Mt Hagen Urban LLG,PG090305,PG0903,PG09,"70",47063.999998,Mt Hagen Urban,Mt Hagen Urban LLG,Mt Hagen District,Western Highlands
Mt. Michael Rural LLG,PG110520,PG1105,PG11,"86",21660.225559,Mt. Michael Rural,Mt. Michael Rural LLG,Lufa District,Eastern Highlands
Mul Rural LLG,PG090508,PG0905,PG09,"78",54596.999999,Mul Rural,Mul Rural LLG,Mul/Baiyer District,Western Highlands
Mumeng Rural LLG,PG120101,PG1201,PG12,"54",32964.000001,Mumeng Rural,Mumeng Rural LLG,Bulolo District,Morobe
Murat Rural LLG,PG170101,PG1701,PG17,"37",4368.000000,Murat Rural,Murat Rural LLG,Kavieng District,New Ireland
Murua Rural LLG,PG050211,PG0502,PG05,"26",45878.999999,Murua Rural,Murua Rural LLG,Samarai-Murua District,Milne Bay Province
Nabak Rural LLG,PG120824,PG1208,PG12,"39",21652.999999,Nabak Rural,Nabak Rural LLG,Nawae District,Morobe
Naho Rawa Rural LLG,PG130411,PG1304,PG13,"41",17082.000001,Naho Rawa Rural,Naho Rawa Rural LLG,Rai Coast District,Madang
Nali Sopat/Penabu LLG,PG160108,PG1601,PG16,"18",6350.000000,Nali Sopat/Penabu,Nali Sopat/Penabu LLG,Manus District,Manus
Namatanai Rural LLG,PG170205,PG1702,PG17,"85",34241.702561,Namatanai Rural,Namatanai Rural LLG,Namatanai District,New Ireland
Namea Rural LLG,PG150308,PG1503,PG15,"32",20330.000001,Namea Rural,Namea Rural LLG,Telefomin District,West Sepik (Sandaun)
Nanima Kariba LLG,PG120734,PG1207,PG12,"45",35017.135407,Nanima Kariba,Nanima Kariba LLG,Menyamya District,Morobe
National Capital District,PG040101,PG0401,PG04,"485",513917.999999,,,,
Nayudo Rural LLG,PG130418,PG1304,PG13,"29",19097.400601,Nayudo Rural,Nayudo Rural LLG,Rai Coast District,Madang
